ID,FIELD 04 - Exhibition Archives,Timestamp,General Institution / Organisation Information,Name of the Institution / Organisation,Country,City,Type,Field of Activity,Year the Exhibition was prepared,Year the Exhibition was held,Links,Principal Partner,Interested Partner,Links - for partners only,"FIELD 04 - Description of the exhibition archive of your institution
",Does your institution preserve documentation related to past exhibitions?,Documentation period,Reason for no documentation,Type of preserved documents,"What is the department or area, in your institution, in charge of gathering and preserving this archive?","Please, indicate the name and e-mail address of the person in charge of your exhibition archive:",What is the name by which you refer to this group of documents?," Please, describe in a few lines the contents, aims and status of your exhibition archive: ","How many people from your staff work in the preservation of your exhibition archive? Please, if this is not a full time task, indicate the percentage of hours that the persons in charge devote to this archive, in relation to their full time dedication",What period of time does your exhibition archive encompass?,What are the main parameters that define the structure you are giving to your exhibition archive:,"Have you developed a classification chart that describes the structure of your exhibition archive? If so, is it available for our consultation?","Have you developed any of these, in relation to your exhibition archive?","If so, are they available for our consultation?",What norm or standard set of rules do you use for the description of your exhibition archive? I.e. RAD – Rules for Archival Description,"Please, indicate the approximate number of linear meters of shelves that your exhibition archive comprises:","Please, indicate what database you use for the description of records belonging to your exhibition archive, i.e. FileMaker Pro.","Please, indicate the current number of records in this database","Always in relation to the exhibition archive of your institution, please indicate the approximate number of records, and / or the approximate percentage in relation to the total number of records, that are available online:","As well as the approximate number of records, and / or the approximate percentage in relation to the total number of records, that have been digitized:","Please, indicate by order of importance which of these processes you would like to develop first, if you would have enough resources: ","And finally, please leave any comment you may deem relevant in relation to your exhibition archive, which may help us understand better the scope and status of your exhibition archive, as well as wishes, aims etc. that are outside of the frame of our questions below. "
1339772922651.57,,Fri Jun 15 17:08:42 UTC+0200 2012,,Fondazione La Biennale di Venezia-ASAC Archivio Storico delle Arti Contemporanee,Italy,Venica,Archive|Cultural Institution,Art,1895 (Year of the first Biennale ) 1928 (Year the Archives were established,,http://www.labiennale.org,MACBA,MACBA,,,YES,1985,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Library,Avv. Debora Rossi ; debora.rossi@labiennale.org,Institutional archive,"The Historical Archives of Contemporary Arts (ASAC) collects, catalogues, expands and evaluates the conservational and documentary assets of the Venice Biennale, gathered from 1895 to the present.
Located in the VEGA complex in the mainland of Venice, the ASAC offers services of documentation, research and experimentation in the field of contemporary arts: visual arts, architecture, cinema, music, dance, and theatre.
It also promotes the circulation of documentary material produced by the Biennale at institutions, cultural associations, schools, and universities, collaborating with the various sectors in organising events.
 The ASAC is a multi-disciplinary and multimedia structure. 
",11 people (three people work  50%),1985,Format and conservation (texts / analogical photographs / plans / digital photographs / …),"Yes. The ASAC is divided into:
• Historic fund
• Photo library
• Film library
• Media library
• Poster collection
• Documentary material
• Library (* located at Giardini, next to the Central Pavilion)
• Periodicals
• Collection of scores
• Artistic fund
",Finding aid|Inventory|On line catalogue or database,Yes they are,ISBD etc.,1000,ASAC-Dati  Sesamo ; File Maker Pro,,30%,15%,"Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",We hope to have more resources for our aims and to enlarge the opening time for users.
1339773279390.31,,Fri Jun 15 17:14:39 UTC+0200 2012,,Centro Galego de Arte Contemporánea CGAC,Spain,Santiago de Compostela,Museum,Art,1993,,,MACBA,MACBA,,,YES,1995,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Other:,,Institutional archive,,,1995,"Source or producer (dept, etc.)",,,,,,,,,,Inclusion in the exhibition archive of internal documents related to the process of production,
1339773705090.43,,Fri Jun 15 17:21:45 UTC+0200 2012,,Residencia Corazón Argentina /Residency,Argentina,La Plata,Other:,,2006,,www.residenciacorazon.com.ar,MACBA,MACBA,,,YES,2006,,"Photographs of installation process|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition",Administration,,Institutional archive,Catologs of each exhibition,,2006,Other:,,Inventory,yes,,,,,,,Dissemination online of contents of the exhibition archive,"Our objectives could be to create a professional file, sharing  that online. Also edit the material in a book format."
1339793036332.69,,Fri Jun 15 15:43:56 EST 2012,,Museo Nacional de Colombia,Colombia,Bogotá D.C.,Museum,Art|Archeology|History|Ethnography,1823,,"www.museonacional.gov.co
www.mincultura.gov.co
",MACBA,MACBA,,,YES,1880,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Library,"Antonio Ochoa Flórez
Centro de documentación
Museo Nacional de Colombia
Carrera 7 No 28 - 66
Bogotá D.C. - Colombia
América del Sur

Correo electrónico: aochoa@museonacional.gov.co
documentacion@museonacional.gov.co",Museum archive,"Los documentos de las exposiciones del Museo Nacional de Colombia se guardan de acuerdo a la normatividad de la Ley General de Archivos de Colombia, al ser una entidad estatal, debe organizarse de acuerdo a la Tabla de Retención Documental del Ministerio de Cultura de Colombia, esta en buen estado de conservación y su consulta es pública; son documentos de misionales que deben ser guardados y no eliminados.","El Museo cuenta con e funcionarios de tiempo completo relacionados con los archivos de las exposiciones: uno para el centro de documentación, uno para la curaduria de arte e historia y uno para museografia.",1880/2012,"Source or producer (dept, etc.)",Los documentos se organizan de acuerdo a los procedimientos e inventarios ordenados por la Ley General de Archivos de Colombia y son de consulta pública.,Inventory,,RAD,50,"FileMaker Pro, excell",300 aprox,no disponibles en linea,no esta digitalizado,"Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)|Inclusion in the exhibition archive of internal documents related to the process of production",El archivo del Museo Nacional de Colombia es un archivo satelite del archivo central del Ministerio de Cultura de Colombia.Los documentos a partir de 2001 se organizan de acuerdo a la metodologia de la Tabla de Retención Documental ordenada por la Ley General de Archivos de Colombia para las instituciones publicas.Estos documentos a futuro se deben trasferir al Archivo General de la Nación de Colombia como archivo historico definitivo.   
1340003659153.54,,Mon Jun 18 2012 10:14:19 GMT+0300 (GTB Daylight Time),,İstanbul Modern,Turkey,İstanbul,Cultural Institution,Art,2004,,http://www.istanbulmodern.org/en,N/A,N/A,,,YES,2004,,"Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,,Museum archive,"A big part of our exhibition archive is mainly kept by the archive department; however, in addition to that every relevant department has its own archive for each of our exhibitions.",,2004/the present,,,,,,,,,,,,
1340022211941,,Mon Jun 18 14:23:31 UTC+0200 2012,,centre pompidou,France,paris,Cultural Institution,Art,1977,1977,www.centrepompidou.fr,N/A,N/A,,,YES,1965-2012,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Other:,,Institutional archive,,,1977-2012,"Source or producer (dept, etc.)",,Inventory|On line catalogue or database,,EAD,,,,,,Inclusion in the exhibition archive of internal documents related to the process of production|Other:,
1340036132995.29,,Mon Jun 18 18:15:32 UTC+0200 2012,,Museo Nacional Centro de Arte Reina Sofía,Spain,Madrid,Museum,Art,1986,,,MACBA,MACBA,,,YES,1986,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",,Bárbara Muñoz de Solano y Palacios: barbara.munoz@museoreinasofia.es,Institutional archive,"The Museo Nacional Centro de Arte Reina Sofía Archive is in charge of co-ordinating documentation management at the institution and also of conserving and organising the Museum\'s documentation and making it available to interested parties.
The archive conserves the documentation produced by the Museum starting in 1986 (when Reina Sofía began operations as an Art Centre) and up through the present. It also conserves a small part of the documentation produced by the Museo Español de Arte Contemporáneo and by the bodies that preceded it, in addition to the documentation transferred periodically by the different units within the Museum. It currently holds 7000 storage units.
It began functioning in 2008 and thus is still in the process of organising the documentation. However, it has some basic description instruments that enable it to serve the institution as well as external users, the only restrictions being those imposed by its state of organisation and by the general legislation concerning access to archives.
Services
1) Consulting documentation
To consult the documentation in person it is necessary only to present an official identification document and fill in the printed researcher sheet as well as the request form for the documentation you wish to consult.
2) Reproducing documents
Users can also request photocopies and take photographs or make digital copies using their own devices. In both cases, reproduction is subject to the state of conservation of the documents and to the provisions laid down in the applicable legislation. If the reproductions are to be used for purposes other than research (advertising, publication, exhibition) an agreement to this effect must be signed with the Museum.
",The Archive work in collaboration with the museum\'s restoration department. In this sense documentaries restorations are performed by the department of restoration.,From 1986 to 2008  ,"Source or producer (dept, etc.)","We are working in a rough draft now
 . Sent by mail.",Finding aid,,ISAD G,A hundred linear metres for about 7000 storage units,"We have our own archival software tool, developed by Ministerio de Educación y Cultura ",500,,,"Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)",
1340092800276.88,,Tue Jun 19 2012 10:00:00 GMT+0200 (CEST),,Migros Museum für Gegenwartskunst Zürich,Switzerland,Zürich,Museum,Art,1996,1996,http://www.migrosmuseum.ch/en/,MACBA,MACBA,,,YES,1996 - now,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,gabi.deutsch@mgb.ch,Museum archive,,"1 - 2 persons

40%

",1996 to the present,"Source or producer (dept, etc.)",,On line catalogue or database,,DACS,50,Museum Plus,,most,,"Digitization of analogical records, and improvement of preservation policies (refreshing)",
1340118526165.8,,Tue Jun 19 2012 17:08:46 GMT+0200 (Hora de verano romance),,Museu Nacional Art de Catalunya,Spain,Barcelona,Museum,Art,1890,1891,http://www.mnac.cat,MACBA,MACBA,,,YES,1997,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Drafts of work- or item- lists to be exhibited|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Archive,"Pilar Blesa. 
pilar.blesa@mnac.cat
",Exhibition records,"The exhibition records contain the documents generated by an exhibition from the proposal to the final production. 

The MNAC Archive is the manager of the \\\\\\\\\\\\\\\""Records Management and Archive System\\\\\\\\\\\\\\\"" corporate. The system keeps all the internal records related to the process of the exhibition production: restoration records, edition records, education activities records, conferences records, financial records, marketing records, visitors records, communication and advertising records, etc.

","All departaments, from offices to archive, have their own responsabilities over primary documents preservation.



",From 1891 to the present,,Yes. Not on the museum website.If anybody is interested we send it by e-mail.,Inventory,Not on the museum web.,ISAD(G) NODAC,130,In-house MS Access db,49.038,203 exhibition records. 925 bbdd records - 2%,,"Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)","The corporate \\\\\\\\\\\\\\\""Records Management and Archive System\\\\\\\\\\\\\\\"" has, as one of its main goals, the integration with the \\\\\\\\\\\\\\\""Information Management Museum System\\\\\\\\\\\\\\\"".
Each document related to the collection is linked to its corresponding work of art.So, 203 exhibition records belonging to 925 bbdd records are linked to 10.040 works of art, medals, coins, etc.
Through a simple query using the registration number of a collection object we are able to recover all documents related thereto, whether the work belongs to the collection of the museum as if from an external."
1340132541329.95,,Tue Jun 19 14:02:21 CDT 2012,,"Museo Universitario Arte Contemporáneo, UNAM",Mexico,Mexico city,Archive|Museum,Art,2008,2008,http://www.muac.unam.mx,MACBA,MACBA,,,YES,2008,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Cada departamento del museo,,,"La documentación reunida de cada una de las exposiciones que se han llevado a cabo en el MUAC, aún no se encuentra resguardada en el Centro de Documentación Arkheia. 

Por el momento no se han transferido los expedientes de exposiciones del MUAC al Centro de Documentación, sin embargo, sí se cuenta con esta información. ","Cada departamento del museo es responsable de guardar la documentación en torno a cada exposición llevada a cabo. No es una actividad de tiempo completo, pues conforme el proceso de exposición avanza, se reúne el material.",from 2008 to the present,"Source or producer (dept, etc.)","Actualmente se trabaja en establecer lineamientos comunes para reunir la documentación de las exposiciones como parte del archivo histórico del MUAC.
",,,,,,,,,Archival description of records reaching the smallest units|Inclusion in the exhibition archive of internal documents related to the process of production,"El Museo Universiario Arte Contemporáneo (MUAC) se inauguró en 2008. 
El antecedente del MUAC es el Museo Universitario de Ciencias y Artes (MUCA) que fue fundado en 1959. Ambos museos pertenecen a la Universidad Nacional Autónoma de México.

En Arkheia, el Centro de Documentación del museo, se resguardan diversos fondos documentales, entre los que se encuentra el Fondo Histórico, que está conformado por documentación relacionada a las exposiciones llevadas a cabo en el MUCA desde 1960 al 2008. Este material está en proceso de catalogación y puede ser consultado por el público interesado.

Respecto a la documentación reunida de cada una de las exposiciones que se han llevado a cabo en el MUAC, ésta aún no se encuentra resguardada en el Centro de Documentación Arkheia. Cada departamento es responsable de conservar la documentación en torno a su área.
Por el momento no se han transferido los expedientes de exposiciones del MUAC al Centro de Documentación, sin embargo, sí se cuenta con esta información. Actualmente se trabaja en establecer lineamientos comunes para reunir la documentación de las exposiciones como parte del archivo histórico del MUAC.

"
1340160877752.59,,Wed Jun 20 12:54:37 UTC+1000 2012,,Art Gallery of New South Wales,Australia,Sydney,Museum,Art,1874,,www.artgallery.nsw.gov.au,N/A,N/A,,,YES,1874-,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Condition reports of works or items exhibited, issued by Restauration experts|Insurance files related to each exhibition|Transport files related to each exhibition|Hanging files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.|Other (please, specify):",Archive,"Steven Miller, Head of the Edmund and Joanna Capon Research Library and Archive
steven.miller@ag.nsw.gov.au",Museum archive,Records of exhibitions constitute a very important part of our museum\'s archives and are still used by a wide range of researchers.,1 full-time archivist,1974 to present,"Source or producer (dept, etc.)","There is a rough classification chart that was developed a long time ago, but is still used:

In three major sub-series:
1) Exhibitions held at the AGNSW
2) Exhibitions organised or contributed to by the AGNSW
3) Proposed but unrealised exhibitions
4) Other exhibitions

Within each of these the files are arranged chronologically.


Each file is further divided into a number of categories.
1a) 
Copies of the catalogue, including annotated and draft copies.
Lists of Institutions and individuals to whom catalogues were sent
Acknowledgements of receipt of catalogues
Other documentation related to preparation and publication
of the catalogue, excluding those in 2a.
1b) 
Invitation lists
Invitation cards
Letters accepting and rejecting invitations
1c) Artists’ lists
1d) 
Statistics of attendance at the exhibition
Surveys

2a) Research and study notes made in preparation for the exhibition and the catalogue
2b) Lectures given in connection with the exhibition
2c) Copies of the opening night speech
2d) Education kits, etc or other educative material produced in support of the exhibition

3a) General inward correspondence regarding the exhibition (excluding correspondence related to loans of work)
3b) General outward correspondence regarding the exhibition (excluding correspondence related to loans of work)


4a) Documentation/Correspondence related to loan and/or information about works in public collections
4b) Documentation/Correspondence related to loan and/or information about works in private collections
4c) Lists of works exhibited
4d) Partial or selective lists other than those in 4a,b
4e) Labels for works exhibited, text panels, etc.
4f) Works culled from exhibition selection


5a) Documentation related to transport and shipment of the exhibition
5b) Documentation related to layout and installation of the exhibition
5c) Documentation related to insurance of the exhibition
5d) Condition reports, documentation related to conservation
5e) Documentation related to reproduction of the work in the
exhibition and copyright


6a) Documentation related to General Finance for the exhibition
6b) Documentation related to sale of works in the exhibition, offers
of sale of works


7) Reviews of the exhibition and published articles about the exhibition
(This category is mainly relevant for exhibitions pre-1950. More recent exhibitions have a seperately kept Review File in the AGNSW Room of the Research Library)


8a) Application forms and announcements for submission of work
8b) Press releases, publicity and marketing for the exhibition (including publicity photographs)
8c) Visitor surveys, etc


9a) Photographs and transparencies of works exhibited, as well as documentation related to this
9aa) Photographs and transparencies of works considered for exhibition, but not necessarily included in final choice
9b) Installation photographs and other photographs related to the exhibition
9c) Tapes, videos, films, etc.


10) Linked or satellite exhibitions - documentation related to smaller shows or displays held at the same time as the major exhibition and linked with this exhibition

11) Travelling exhibitions - for exhibitions which subsequently travel from the Gallery to other venues - documentation related to those other venues

12) Documentation related to exhibition graphics, including designs for the catalogue, posters, layouts, etc.
",Finding aid|Inventory|On line catalogue or database,"The first two are, the online database is not yet online for the general public, but we use it in-house",RAD and our own,200,Civica-Spydus,1869,100%,5%,"Digitization of analogical records, and improvement of preservation policies (refreshing)","All of our exhibitions have been entered on to our database. This gives basic information: title, date of exhibition, curator responsible, details of the catalogue, link to online resources if available. This database also notes if archival materials exist for this exhibition and it gives the number of the archival collection (eg.EF132). However, it does not list the contents of this archive. To find out the contents of older exhibitions, you need to go to a word document listing them and for more recent exhibitions, consult a Trim database, which is the records management database used by our gallery.
The records which we have digitised principally are photographs and catalogues for exhibitions prior to 1940."
1340171910334.48,,Wed Jun 20 2012 08:58:30 GMT+0300 (Türkiye Yaz Saati),,SALT,Turkey,Istanbul,Cultural Institution,Art|History,2011,,"http://www.saltonline.org/en/anasayfa

http://www.saltresearch.org/primo_library/libweb/action/search.do?dscnt=1&dstmp=1340172040125&vid=salt&fromLogin=true

FB: saltonline.tr

Twitter: @SALT_Online",MACBA,MACBA,,,YES,2001,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Final list of works or items exhibited in each show|Drafts of work- or item- lists to be exhibited|Exhibition plans \""as built\""|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Book or catalogue issued on occasion of each exhibition|Documents related to the educational activities programmed on occasion of each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.",Research,Sezin Romi from SALT Research: sezin.romi@saltonline.org,Exhibition Archive,"Exhibition Archive consists of two branches: SALT Press and Event Archive, Exhibition Archive of Turkey. All events and exhibitions arranged at SALT are being archived regularly.Exhibition Archive of Turkey includes documents and images of non-commercial, historically important exhibitions organized in Turkey since the 1980s, as well as exhibitions abroad attended by groups of artists from Turkey. The Exhibition Archive of Turkey has developed with the cooperation of artists and exhibition organizers, is shaped by research, and is continuously updated.All of these archives are part of SALT Research.",,From 1980s to the present,,We are using Dublin Core in our archive system. All of our digital data including the exhibition archive will be accessible online soon. We are in the process of developing and solving our software issues.,Finding aid|Inventory|On line catalogue or database|Index,"It is in progress, will be online and searchable soon.",Dublin Core,Mostly it is digital.,ExLibris-Digitool,,,More than 1 million,Keeping the documentation of of the present exhibitions and bringing the documents of the past exhibitions together.,"Please also see the link of the exhibition \""It was a time of conversation\"" which reevaluates hree exhibitions from the first half of the 1990s in Turkey: http://saltonline.org/en/#!/en/236/o-zamanlar-konusuyorduk-it-was-a-time-of-conversation/"
1340171892993.23,,Wed Jun 20 2012 07:58:12 GMT+0200 (Hora de verano romance),,Museu Marítim de Barcelona,Spain,Barcelona,Museum,Other:,1929,1939,"www.mmb.cat

",MACBA,MACBA,,,YES,1941,,"Letters, e-mails or other forms of correspondence|Photographs of the exhibition as installed|Video recordings of the exhibition as installed|Photographs of installation process|Video recordings of installation process|Press release materials (texts, photos, videos handed to the press)|Media clippings related to each exhibition|Drafts of work- or item- lists to be exhibited|Non-final versions of exhibition plans|Dissemination materials, printed or other: brochures, posters, invitation cards, video or tv advertisements, commercial radio slots, etc.|Draft materials for book or catalogue, i.e. non-final versions of texts, non-final versions of book layout, etc.|Insurance files related to each exhibition|Transport files related to each exhibition|Documents related to the educational activities programmed on occasion of each show|Records of visitors’ attendance to each show|Administrative documents, such as invoices, insurance certificates, contracts, etc.|Other (please, specify):",Archive,"Pilar Cuerva

cuervacp@diba.cat
",Exhibition records,"The records of exhibitions currently contained in the documents generated by an exhibition from the exhibition proposal to final production.
 We have records regarding exposures to complete its preparation for the exhibitions of the museums relate to all departments of the institution. So also keep the records procurement in general and the commissioners, the financial documentation, records of communication and advertising campaigns...",1 person 50%,From 1929 to the present,Other:,"Yes, we have a classification chart. It\\\\\\\'s in the web, in this link:

http://www.mmb.cat/centre_informacio.php?idm=1&pagina=5&codi_subseccio=53&codi_plana=411&estic=2
",Inventory|Other:,"Yes, but is available on demand because is not on line",ISAD (G) and NODAC,6 linear meters,Access,1689,0 % ,5%,"Dissemination online of contents of the exhibition archive|Archival description of records reaching the smallest units|Digitization of analogical records, and improvement of preservation policies (refreshing)",
